0,1,2,3,4,5,6,7,8
,한국아동·청소년패널조사 2018 성인용 변수 레이아웃,,,,,,,
,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 공부에 자신이 있다,YINT2A11,문45-11
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 어려운 과제도 충분히 해결할 만한 능력이 있다,YINT2A12,문45-12
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부할 때 내 주변의 다른 모든 것을 잊어버린다,YINT2A13,문45-13
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부를 시작하면 푹 빠진다,YINT2A14,문45-14
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],공부를 하다보면 나도 모르게 집중할 때가 있다,YINT2A15,문45-15
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부할 때 시간이 잘 간다,YINT2A16,문45-16
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],실력 차이를 내 힘으로 극복할 수는 없다고 생각한다,YINT2B01,문46-1
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],아무리 공부해도 내가 지금보다 더 잘할 수는 없다고 생각한다,YINT2B02,문46-2
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],내 힘으로 학업 문제를 해결할 수는 없다고 생각한다,YINT2B03,문46-3
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],공부를 잘하기 위하여 내가 할 수 있는 일이 없다고 생각한다,YINT2B04,문46-4
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부에 신경 쓰고 싶지 않다,YINT2B05,문46-5
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부를 왜 해야 하는지 관심도 없다,YINT2B06,문46-6
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부를 열심히 해야 하는 이유를 모르겠다,YINT2B07,문46-7
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부하고 싶은 의욕이 생기지 않는다,YINT2B08,문46-8
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],공부하는 것이 즐겁지 않다,YINT2B09,문46-9
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],수업을 듣거나 모둠활동을 하면서 유쾌함을 느끼지 못한다,YINT2B10,문46-10
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],학교에서 생활하면서 행복함을 느끼지 못한다,YINT2B11,문46-11
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],점수가 잘 나온다 해도 기쁘지 않다,YINT2B12,문46-12
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],시험기간이라도 공부에 전념하지 않는다,YINT2B13,문46-13
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],스스로 알아서 공부하지 않는다,YINT2B14,문46-14
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],수업에 적극적으로 참여하지 않는다,YINT2B15,문46-15
,[개인발달],[지적발달],[학업태도],[학업 무기력],[능동수행 결여],스스로 알아서 학습계획을 짜본 적이 없다,YINT2B16,문46-16
,[개인발달],[진로],[진로계획],[장래희망 교육수준],-,향후 목표하는 학업 수준,YFUR1A00,문6
,[개인발달],[진로],[진로계획],[장래직업 결정여부],-,장래 희망직업 결정 여부,YFUR1B00,문7
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,아버지,YFUR2A01,문8-1
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,어머니,YFUR2A02,문8-2
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,형제ㆍ자매,YFUR2A03,문8-3
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,친척ㆍ친지,YFUR2A04,문8-4
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,학교 선생님,YFUR2A05,문8-5
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,상담교사,YFUR2A06,문8-6
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,학원/과외 선생님,YFUR2A07,문8-7
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,기타,YFUR2A08,문8-8
,[개인발달],[진로],[진로관],[진로 관련 대화 빈도],-,기타 (적을 것),YFUR2A08_T,문8-8_T
,[개인발달],[진로],[진로적응력],[진로 관심],-,나는 내 미래의 직업에 대해 많은 관심을 두지 못하고 있는 것 같다,YFUR3A01,문9-1
